"Cestna vozila konec leta (31.12.) glede na vrsto vozila in statistièno regijo, Slovenija, letno"

"VRSTA VOZILA";"STATISTIÈNA REGIJA";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Motorna vozila";"Pomurska";75996;77072;79706;81039;81778;82657;83053;83085;83863;84466;85758;88884;91255;93232
"Motorna vozila";"Podravska";184041;192347;200682;203666;204328;205619;206201;206638;208879;212582;216678;224266;230025;236043
"Motorna vozila";"Koroška";39557;41474;43425;44209;44566;45220;45509;45793;46265;46646;47683;49175;50823;51903
"Motorna vozila";"Savinjska";147341;156223;163782;166792;168790;170848;171956;172292;174152;172102;176609;184848;191399;196668
"Motorna vozila";"Zasavska";21863;23093;24114;24572;24469;24353;24324;24131;24297;34339;35010;36101;37326;38153
"Motorna vozila";"Posavska";43167;45211;47508;48960;49346;49920;50305;50767;51347;55884;57190;58998;60864;62435
"Motorna vozila";"Jugovzhodna Slovenija";85031;88844;93214;95075;96245;97661;98911;99523;101017;102569;105051;108859;112932;115938
"Motorna vozila";"Osrednjeslovenska";304288;319721;332902;338309;338992;339990;341736;341310;344346;344020;351085;363696;371145;380791
"Motorna vozila";"Gorenjska";114026;119564;124333;126797;127861;128901;129202;129471;130800;132687;135383;139334;142964;145924
"Motorna vozila";"Primorsko-notranjska";33395;34747;36107;37033;37499;38154;38680;38878;39401;39996;40936;42123;43534;44483
"Motorna vozila";"Goriška";81010;83081;85803;87197;87593;87992;87460;87334;88099;88701;90508;93870;96427;97960
"Motorna vozila";"Obalno-kraška";71264;74284;77387;78665;79179;79761;79544;79678;80410;81434;83043;87238;90001;91651
"..kolesa z motorjem";"Pomurska";2331;2423;2601;2683;2689;2660;2611;2506;2461;2476;2485;3954;4172;4359
"..kolesa z motorjem";"Podravska";8209;8761;9330;9631;9370;9249;9129;8704;8579;8577;8531;11387;11821;12222
"..kolesa z motorjem";"Koroška";1076;1258;1436;1540;1548;1522;1510;1486;1503;1558;1604;2274;2420;2583
"..kolesa z motorjem";"Savinjska";4476;4910;5363;5622;5698;5708;5781;5735;5758;5599;5775;9054;9644;9868
"..kolesa z motorjem";"Zasavska";449;493;576;598;626;628;626;654;690;981;1000;1317;1377;1409
"..kolesa z motorjem";"Posavska";1384;1509;1629;1774;1782;1756;1707;1660;1662;1744;1746;2235;2321;2360
"..kolesa z motorjem";"Jugovzhodna Slovenija";2151;2376;2574;2762;2812;2819;2789;2768;2777;2854;2949;3760;4003;4213
"..kolesa z motorjem";"Osrednjeslovenska";6018;6722;7289;7628;7718;7739;7774;7567;7625;7980;7819;10997;11323;11525
"..kolesa z motorjem";"Gorenjska";2600;2897;3185;3406;3464;3504;3563;3527;3616;3886;4036;5152;5441;5636
"..kolesa z motorjem";"Primorsko-notranjska";657;674;714;759;798;820;838;826;830;832;864;1241;1297;1349
"..kolesa z motorjem";"Goriška";2054;2265;2430;2520;2537;2527;2458;2381;2439;2414;2429;3968;4171;3969
"..kolesa z motorjem";"Obalno-kraška";2987;3043;3257;3320;3280;3364;3315;3236;3225;3315;3315;5458;5800;5958
"..motorna kolesa";"Pomurska";1242;1824;2268;2565;2719;2835;2932;2952;3086;3241;3341;3454;3581;3740
"..motorna kolesa";"Podravska";2612;4737;6039;6698;7052;7234;7308;7528;7940;8404;8887;9302;9607;10175
"..motorna kolesa";"Koroška";708;1360;1732;1942;2021;2031;2063;2140;2260;2357;2533;2612;2737;2812
"..motorna kolesa";"Savinjska";2366;4841;5765;6338;6723;6870;6995;7068;7515;7747;8213;8705;9119;9557
"..motorna kolesa";"Zasavska";348;820;1019;1141;1189;1183;1210;1209;1267;1745;1754;1892;1963;2034
"..motorna kolesa";"Posavska";676;1391;1711;1911;1968;1957;2015;2032;2117;2375;2467;2573;2748;2957
"..motorna kolesa";"Jugovzhodna Slovenija";1109;2158;2735;3001;3105;3182;3216;3265;3446;3666;3898;4181;4446;4724
"..motorna kolesa";"Osrednjeslovenska";3831;7496;9038;9963;10532;10866;11105;11286;11735;12391;13111;13854;14224;14846
"..motorna kolesa";"Gorenjska";1573;3478;4094;4555;4857;4970;5118;5234;5528;5867;6158;6437;6713;6945
