"Delovne migracije - izbrani kazalniki, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"2009 Indeks delovne migracije";"2009 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2010 Indeks delovne migracije";"2010 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2011 Indeks delovne migracije";"2011 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2012 Indeks delovne migracije";"2012 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2013 Indeks delovne migracije";"2013 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2014 Indeks delovne migracije";"2014 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2015 Indeks delovne migracije";"2015 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2016 Indeks delovne migracije";"2016 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2017 Indeks delovne migracije";"2017 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2018 Indeks delovne migracije";"2018 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa";"2019 Indeks delovne migracije";"2019 Delovno aktivno prebivalstvo [brez kmetov], ki delajo v regiji prebivališèa"
"Pomurska";89.8;83.9;89.4;83.7;89.9;83.5;90.4;83.5;90.2;82.8;89.9;82.2;89.4;81.5;89.3;81.4;89.3;80.9;89.5;80.4;91.0;80.4
"Podravska";97.3;87.7;98.1;87.6;97.1;86.2;96.4;85.8;96.1;85.5;96.3;85.4;96.5;85.0;96.8;84.6;96.5;84.4;96.7;84.0;96.9;83.8
"Koroška";87.6;82.6;85.8;80.8;86.3;81.0;87.4;81.7;87.0;81.3;87.3;81.4;86.1;79.9;86.7;79.9;87.6;80.7;87.6;80.5;87.8;80.3
"Savinjska";98.7;86.9;97.7;86.0;96.6;84.9;96.4;84.4;96.5;84.3;96.3;83.8;97.2;83.8;96.8;83.1;95.8;82.2;95.4;81.7;95.6;81.3
"Zasavska";71.3;61.3;70.8;60.1;71.3;59.5;69.6;59.1;69.4;58.7;67.8;57.4;62.6;51.3;60.8;49.7;59.8;48.5;59.2;48.0;59.0;47.5
"Posavska";82.6;72.7;81.8;71.6;80.8;70.9;79.9;70.6;79.6;69.8;79.1;68.8;76.7;67.2;77.0;66.6;77.6;66.3;77.0;65.8;77.0;65.3
"Jugovzhodna Slovenija";89.8;78.6;88.8;77.4;87.9;76.4;88.6;76.8;88.7;77.0;87.6;75.6;89.2;76.2;89.3;75.7;89.6;75.6;90.3;75.7;91.0;75.4
"Osrednjeslovenska";123.6;93.2;124.2;93.0;125.9;92.7;126.1;92.5;126.0;92.3;126.3;92.0;127.6;91.4;127.5;91.1;128.0;90.7;128.6;90.4;127.9;90.2
"Gorenjska";84.7;75.1;84.9;74.2;84.2;73.6;83.6;73.2;83.9;73.2;83.9;72.9;84.0;72.8;83.9;72.3;84.7;72.5;85.9;72.9;85.6;72.6
"Primorsko-notranjska";79.5;66.6;78.3;65.5;73.6;62.4;75.4;63.2;74.9;63.0;75.2;62.9;74.6;62.3;74.3;61.8;72.6;60.4;72.4;60.3;71.4;59.4
"Goriška";97.0;87.4;96.6;86.8;96.7;86.5;96.0;86.1;96.3;86.2;96.2;85.7;95.7;85.4;96.3;85.2;97.1;84.9;93.5;82.8;95.3;84.3
"Obalno-kraška";100.5;85.5;101.3;85.4;99.5;84.0;97.3;83.3;97.4;83.0;97.5;82.6;100.3;82.6;100.0;82.4;99.2;81.8;98.4;81.2;98.1;80.9
