"TIME","GEO","UNIT","VEHICLE","Value","Flag and Footnotes"
"2009","Belgium","Millions of passenger-kilometres","Total","131,470",""
"2009","Belgium","Millions of passenger-kilometres","Motorcycles","1,330",""
"2009","Belgium","Millions of passenger-kilometres","Passenger cars","111,470",""
"2009","Belgium","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","18,670",""
"2009","Bulgaria","Millions of passenger-kilometres","Total","9,773.2",""
"2009","Bulgaria","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Bulgaria","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Bulgaria","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","9,773.2",""
"2009","Czechia","Millions of passenger-kilometres","Total","87,287","r"
"2009","Czechia","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Czechia","Millions of passenger-kilometres","Passenger cars","72,290","e"
"2009","Czechia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","14,997","r"
"2009","Denmark","Millions of passenger-kilometres","Total",":",""
"2009","Denmark","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Denmark","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Denmark","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Total",":",""
"2009","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Germany (until 1990 former territory of the FRG)","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Estonia","Millions of passenger-kilometres","Total",":",""
"2009","Estonia","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Estonia","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Estonia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","1,890.5","r"
"2009","Ireland","Millions of passenger-kilometres","Total",":",""
"2009","Ireland","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Ireland","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Ireland","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Greece","Millions of passenger-kilometres","Total",":",""
"2009","Greece","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Greece","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Greece","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Spain","Millions of passenger-kilometres","Total","410,192",""
"2009","Spain","Millions of passenger-kilometres","Motorcycles","2,748",""
"2009","Spain","Millions of passenger-kilometres","Passenger cars","350,401",""
"2009","Spain","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","57,043",""
"2009","France","Millions of passenger-kilometres","Total","865,567",""
"2009","France","Millions of passenger-kilometres","Motorcycles","13,900",""
"2009","France","Millions of passenger-kilometres","Passenger cars","802,887",""
"2009","France","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","48,780",""
"2009","Croatia","Millions of passenger-kilometres","Total","3,438","r"
"2009","Croatia","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Croatia","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Croatia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","3,438","r"
"2009","Italy","Millions of passenger-kilometres","Total",":",""
"2009","Italy","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Italy","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Italy","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Latvia","Millions of passenger-kilometres","Total","15,092.86","r"
"2009","Latvia","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Latvia","Millions of passenger-kilometres","Passenger cars","12,703.69",""
"2009","Latvia","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","2,389.17","r"
"2009","Lithuania","Millions of passenger-kilometres","Total","38,980.6",""
"2009","Lithuania","Millions of passenger-kilometres","Motorcycles","151",""
"2009","Lithuania","Millions of passenger-kilometres","Passenger cars","36,055.3",""
"2009","Lithuania","Millions of passenger-kilometres","Motor coaches, buses and trolley buses","2,774.7",""
"2009","Luxembourg","Millions of passenger-kilometres","Total",":",""
"2009","Luxembourg","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Luxembourg","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Luxembourg","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Hungary","Millions of passenger-kilometres","Total",":",""
"2009","Hungary","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Hungary","Millions of passenger-kilometres","Passenger cars",":",""
"2009","Hungary","Millions of passenger-kilometres","Motor coaches, buses and trolley buses",":",""
"2009","Netherlands","Millions of passenger-kilometres","Total",":",""
"2009","Netherlands","Millions of passenger-kilometres","Motorcycles",":",""
"2009","Netherlands","Millions of passenger-kilometres","Passenger cars",":",""
