"Delovne migracije - izbrani kazalniki, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"2009 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2010 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2011 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2012 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2013 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2014 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2015 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2016 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2017 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2018 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa";"2019 Delovni migranti [brez kmetov], ki delajo zunaj regije prebivališèa"
"Pomurska";16.1;16.3;16.5;16.5;17.2;17.8;18.5;18.6;19.1;19.6;19.6
"Podravska";12.3;12.4;13.8;14.2;14.5;14.6;15.0;15.4;15.6;16.0;16.2
"Koroška";17.4;19.2;19.0;18.3;18.7;18.6;20.1;20.1;19.3;19.5;19.7
"Savinjska";13.1;14.0;15.1;15.6;15.7;16.2;16.2;16.9;17.8;18.3;18.7
"Zasavska";38.7;39.9;40.5;40.9;41.3;42.6;48.7;50.3;51.5;52.0;52.5
"Posavska";27.3;28.4;29.1;29.4;30.2;31.2;32.8;33.4;33.7;34.2;34.7
"Jugovzhodna Slovenija";21.4;22.6;23.6;23.2;23.0;24.4;23.8;24.3;24.4;24.3;24.6
"Osrednjeslovenska";6.8;7.0;7.3;7.5;7.7;8.0;8.6;8.9;9.3;9.6;9.8
"Gorenjska";24.9;25.8;26.4;26.8;26.8;27.1;27.2;27.7;27.5;27.1;27.4
"Primorsko-notranjska";33.4;34.5;37.6;36.8;37.0;37.1;37.7;38.2;39.6;39.7;40.6
"Goriška";12.6;13.2;13.5;13.9;13.8;14.3;14.6;14.8;15.1;17.2;15.7
"Obalno-kraška";14.5;14.6;16.0;16.7;17.0;17.4;17.4;17.6;18.2;18.8;19.1
