"Nekateri kazalniki transporta po statistiènih regijah, Slovenija, letno"

"KAZALNIK";"STATISTIÈNA REGIJA";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Povpreèna starost osebnih avtomobilov";"Pomurska";8.5;8.6;8.7;8.9;9.2;9.5;9.8;9.9;10.0;10.0;10.0
"Povpreèna starost osebnih avtomobilov";"Podravska";8.1;8.3;8.6;8.9;9.2;9.6;9.8;10.0;10.1;10.1;10.1
"Povpreèna starost osebnih avtomobilov";"Koroška";8.1;8.2;8.4;8.7;8.9;9.2;9.5;9.6;9.6;9.7;9.8
"Povpreèna starost osebnih avtomobilov";"Savinjska";8.2;8.4;8.7;9.0;9.4;9.7;10.0;10.2;10.3;10.4;10.5
"Povpreèna starost osebnih avtomobilov";"Zasavska";7.9;8.1;8.3;8.6;9.0;9.4;9.8;10.0;10.0;10.1;10.2
"Povpreèna starost osebnih avtomobilov";"Posavska";8.8;9.0;9.2;9.6;9.9;10.2;10.5;10.8;10.8;10.8;10.9
"Povpreèna starost osebnih avtomobilov";"Jugovzhodna Slovenija";8.0;8.2;8.5;8.8;9.2;9.5;9.8;10.0;10.1;10.1;10.2
"Povpreèna starost osebnih avtomobilov";"Osrednjeslovenska";7.4;7.6;7.8;8.2;8.5;8.8;9.1;9.3;9.3;9.4;9.5
"Povpreèna starost osebnih avtomobilov";"Gorenjska";7.9;8.0;8.3;8.6;8.9;9.2;9.5;9.7;9.8;9.8;9.9
"Povpreèna starost osebnih avtomobilov";"Primorsko-notranjska";8.5;8.7;9.0;9.3;9.6;10.0;10.4;10.6;10.8;11.0;11.1
"Povpreèna starost osebnih avtomobilov";"Goriška";8.6;8.9;9.2;9.6;10.0;10.4;10.8;11.1;11.3;11.5;11.7
"Povpreèna starost osebnih avtomobilov";"Obalno-kraška";7.7;8.0;8.2;8.7;9.1;9.5;9.9;10.1;10.3;10.5;10.6
