"Nekateri kazalniki transporta po statistiènih regijah, Slovenija, letno"

"KAZALNIK";"STATISTIÈNA REGIJA";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Pomurska";0.5;0.8;0.3;0.8;0.8;0.4;0.3;0.6;0.5;0.3;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Podravska";0.7;0.6;1.0;0.5;0.5;0.7;0.6;0.7;0.6;0.6;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Koroška";0.7;0.6;1.0;0.8;0.4;0.4;0.6;0.7;0.8;0.3;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Savinjska";1.0;0.5;0.4;0.6;0.8;0.5;0.7;0.6;0.5;0.4;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Zasavska";0.9;0.4;0.0;1.4;0.2;0.2;0.5;0.7;0.5;0.5;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Posavska";0.7;0.9;0.4;0.4;1.7;0.3;0.1;0.9;0.7;0.5;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Jugovzhodna Slovenija";1.3;0.9;0.7;0.6;0.4;0.4;0.6;0.6;0.3;0.8;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Osrednjeslovenska";0.7;0.6;0.6;0.4;0.4;0.4;0.5;0.4;0.4;0.2;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Gorenjska";1.1;0.9;0.8;0.8;0.7;0.5;0.5;0.4;0.4;0.3;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Primorsko-notranjska";1.2;0.6;1.3;1.1;1.5;1.1;1.1;0.6;1.5;0.8;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Goriška";0.9;0.5;0.9;1.0;0.5;0.8;1.2;1.0;0.7;0.8;...
"Število umrlih v cestnoprometnih nesreèah na 10.000 prebivalcev";"Obalno-kraška";0.8;1.0;0.8;0.7;0.7;0.9;0.5;1.0;0.3;0.6;...
