"TIME","GEO","UNIT","SEX","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Number","Total","32,978",""
"2009","European Union - 28 countries (2013-2020)","Number","Total","35,315",""
"2009","Belgium","Number","Total","944",""
"2009","Bulgaria","Number","Total","901",""
"2009","Czechia","Number","Total","901",""
"2009","Denmark","Number","Total","303",""
"2009","Germany (until 1990 former territory of the FRG)","Number","Total","4,152",""
"2009","Estonia","Number","Total","98",""
"2009","Ireland","Number","Total","238",""
"2009","Greece","Number","Total","1,456",""
"2009","Spain","Number","Total","2,687",""
"2009","France","Number","Total","4,273",""
"2009","Croatia","Number","Total","548",""
"2009","Italy","Number","Total","4,237",""
"2009","Cyprus","Number","Total","71",""
"2009","Latvia","Number","Total","254",""
"2009","Lithuania","Number","Total","370",""
"2009","Luxembourg","Number","Total","48",""
"2009","Hungary","Number","Total","822",""
"2009","Malta","Number","Total","15",""
"2009","Netherlands","Number","Total","644",""
"2009","Austria","Number","Total","633",""
"2009","Poland","Number","Total","4,572",""
"2009","Portugal","Number","Total","823",""
"2009","Romania","Number","Total","2,796",""
"2009","Slovenia","Number","Total","171",""
"2009","Slovakia","Number","Total","384",""
"2009","Finland","Number","Total","279",""
"2009","Sweden","Number","Total","358",""
"2009","United Kingdom","Number","Total","2,337",""
"2009","Iceland","Number","Total","17",""
"2009","Liechtenstein","Number","Total","1",""
"2009","Norway","Number","Total","212",""
"2009","Switzerland","Number","Total","349",""
"2009","Turkey","Number","Total",":",""
"2010","European Union - 27 countries (from 2020)","Number","Total","29,576",""
"2010","European Union - 28 countries (2013-2020)","Number","Total","31,481",""
"2010","Belgium","Number","Total","850",""
"2010","Bulgaria","Number","Total","776",""
"2010","Czechia","Number","Total","802",""
"2010","Denmark","Number","Total","255",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","3,648",""
"2010","Estonia","Number","Total","79",""
"2010","Ireland","Number","Total","212",""
"2010","Greece","Number","Total","1,258",""
