"Potniški prevoz in promet, Slovenija, letno"

"MERITVE";"VRSTA PREVOZA/PROMETA";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Potniki (1000)";"Cestni javni linijski prevoz";72504;57955;54538;43084;39759;37964;38532;38751;36720;28552;25359;24793;25146;26708;27735;30287;31903;28520;28351
"Potniki (1000)";"Cestni mestni javni linijski prevoz";105599;103938;98373;100418;55937;53604;51745;51336;47748;47210;45980;42760;47752;47549;46321;51986;61776;59833;58610
"Potniki (1000)";"Cestni prevoz z osebnimi avtomobili";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Potniki (1000)";"Cestni prevoz z avtobusi";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Potniki (1000)";"Železniški prevoz";14484;14519;15066;14835;15742;16131;16123;16661;16355;16220;15744;15512;16420;14837;14558;14008;13422;13554;13907
"Potniki (1000)";"Zraèni prevoz";801;814;864;885;944;1018;1136;1302;1144;1170;1163;988;1027;1113;1284;1452;1210;1228;...
"Potniki (1000)";"Letališki promet";886;866;925;1046;1227;1338;1536;1666;1435;1402;1362;1171;1279;1320;1459;1411;1686;1813;1722
"Potniki (1000)";"Pristaniški promet";34;42;47;42;35;30;51;50;78;71;133;99;96;87;95;109;108;133;144
"Potniški kilometri (mio.)";"Cestni javni linijski prevoz";1469.6;1142.8;1065.0;1000.3;862.0;850.3;817.1;814.8;776.7;578.8;551.5;533.1;459.9;476.8;497.7;518.6;553.7;522.0;531.9
"Potniški kilometri (mio.)";"Cestni mestni javni linijski prevoz";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
"Potniški kilometri (mio.)";"Cestni prevoz z osebnimi avtomobili";20801.0;21287.0;21331.0;22042.0;22509.0;23018.0;24355.0;24878.0;25775.0;25636.0;...;...;...;...;...;...;...;...;...
"Potniški kilometri (mio.)";"Cestni prevoz z avtobusi";3392.6;3339.0;3446.0;3218.0;3061.0;3062.0;3235.0;3146.0;3196.0;3183.0;...;...;...;...;...;...;...;...;...
"Potniški kilometri (mio.)";"Železniški prevoz";715.3;749.4;777.3;763.6;776.6;793.2;812.3;834.1;840.2;813.4;773.2;741.7;760.3;696.7;709.3;680.1;650.1;655.9;698.3
"Potniški kilometri (mio.)";"Zraèni prevoz";790.0;794.0;837.0;895.8;1019.3;1043.1;1185.5;1348.8;1193.4;1226.3;1219.0;1059.6;1061.3;1179.3;1331.6;1480.9;1203.0;1193.4;...
"Potniški kilometri (mio.)";"Letališki promet";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Potniški kilometri (mio.)";"Pristaniški promet";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
